0:00:00 5.0007.510.011	1
0:00:00 5.0007.610.011	1
0:00:00 5.0007.510.011	1
0:01:20	5.0007.610.011	-2
0:01:21	5.0007.610.011	4
0:01:21	5.0007.610.011	2
0:01:21	5.0007.610.011	1
0:01:21	5.0007.510.011	5
0:01:21	5.0007.510.011	1
0:01:21	5.0007.610.011	3
0:01:21	5.0007.510.011	1
0:01:21	5.0007.610.011	-2
0:01:22	5.0007.610.011	1
0:01:22	5.0007.510.011	1
0:01:22	5.0007.610.011	1
0:01:22	5.0007.610.011	3
0:01:23	5.0007.610.011	7
0:01:23	5.0007.510.011	3
0:01:23	5.0007.610.011	1
0:01:24	5.0007.510.011	3
0:01:24	5.0007.510.011	1
0:01:24	5.0007.610.011	1
0:01:24	5.0007.610.011	1
0:01:24	5.0007.610.011	1
0:01:24	5.0007.610.011	2
0:01:24	5.0007.510.011	2
0:01:24	5.0007.610.011	2
0:01:24	5.0007.610.011	1
0:01:24	5.0007.610.011	1
0:01:25	5.0007.510.011	3
0:01:25	5.0007.510.011	3
0:01:25	5.0007.610.011	-2
0:01:26	5.0007.610.011	3
0:01:26	5.0007.610.011	1
0:01:26	5.0007.610.011	2
0:01:26	5.0007.610.011	1
0:01:26	5.0007.610.011	2
0:01:26	5.0007.610.011	4
0:01:27	5.0007.510.011	1
0:01:27	5.0007.610.011	-3
0:01:28	5.0007.510.011	1
0:01:29	5.0007.610.011	2
0:01:29	5.0007.610.011	1
0:01:29	5.0007.510.011	2
0:01:30	5.0007.510.011	4
0:01:30	5.0007.610.011	1
0:01:30	5.0007.610.011	-2
0:01:31	5.0007.610.011	-2
0:01:31	5.0007.610.011	-2
0:01:32	5.0007.610.011	1
0:01:32	5.0007.610.011	1
0:01:32	5.0007.510.011	2
0:01:32	5.0007.610.011	1
0:01:32	5.0007.610.011	1
0:01:33	5.0007.510.011	1
0:01:33	5.0007.610.011	2
0:01:34	5.0007.610.011	-2
0:01:34	5.0007.610.011	-2
0:01:35	5.0007.610.011	6
0:01:35	5.0007.610.011	1
0:01:35	5.0007.510.011	3
0:01:35	5.0007.510.011	1
0:01:36	5.0007.610.011	1
0:01:36	5.0007.610.011	1
0:01:36	5.0007.510.011	1
0:01:36	5.0007.510.011	1
0:01:36	5.0007.610.011	-2
0:01:37	5.0007.610.011	1
0:01:37	5.0007.610.011	1
0:01:37	5.0007.510.011	2
0:01:37	5.0007.610.011	2
0:01:37	5.0007.610.011	1
0:01:37	5.0007.510.011	3
0:01:37	5.0007.510.011	7
0:01:38	5.0007.510.011	2
0:01:38	5.0007.510.011	1
0:01:38	5.0007.510.011	1
0:01:38	5.0007.510.011	2
0:01:38	5.0007.610.011	4
0:01:39	5.0007.610.011	1
0:01:39	5.0007.610.011	2
0:01:39	5.0007.610.011	1
0:01:39	5.0007.610.011	3
0:01:41	5.0007.510.011	1
0:01:41	5.0007.510.011	1
0:01:41	5.0007.510.011	1
0:01:41	5.0007.510.011	1
0:01:41	5.0007.510.011	5
0:01:41	5.0007.510.011	1
0:01:41	5.0007.610.011	6
0:01:41	5.0007.610.011	-2
0:01:42	5.0007.610.011	2
0:01:43	5.0007.510.011	3
0:01:44	5.0007.610.011	4
0:01:44	5.0007.610.011	3
0:01:44	5.0007.610.011	1
0:01:44	5.0007.610.011	-3
0:01:45	5.0007.610.011	4
0:01:45	5.0007.510.011	1
0:01:46	5.0007.610.011	10
0:01:46	5.0007.610.011	-2
0:01:47	5.0007.610.011	1
0:01:47	5.0007.610.011	4
0:01:47	5.0007.610.011	1
0:01:48	5.0007.610.011	1
0:01:48	5.0007.610.011	1
0:01:48	5.0007.510.011	1
0:01:48	5.0007.510.011	4
0:01:48	5.0007.510.011	2
0:01:49	5.0007.610.011	3
0:01:49	5.0007.610.011	1
0:01:49	5.0007.610.011	1
0:01:50	5.0007.610.011	4
0:01:50	5.0007.510.011	1
0:01:50	5.0007.610.011	1
0:01:50	5.0007.610.011	-2
0:01:51	5.0007.610.011	2
0:01:51	5.0007.610.011	1
0:01:52	5.0007.510.011	1
0:01:52	5.0007.510.011	1
0:01:52	5.0007.510.011	1
0:01:53	5.0007.610.011	-2
0:01:54	5.0007.610.011	4
0:01:54	5.0007.510.011	1
0:01:54	5.0007.610.011	2
0:01:54	5.0007.510.011	1
0:01:54	5.0007.610.011	1
0:01:55	5.0007.510.011	1
0:01:55	5.0007.610.011	1
0:01:55	5.0007.510.011	1
0:01:56	5.0007.610.011	1
0:01:56	5.0007.610.011	1
0:01:56	5.0007.610.011	1
0:01:56	5.0007.610.011	-2
0:01:57	5.0007.510.011	1
0:01:57	5.0007.610.011	-2
0:01:58	5.0007.510.011	3
0:01:58	5.0007.510.011	1
0:01:58	5.0007.610.011	1
0:01:58	5.0007.510.011	2
0:01:58	5.0007.610.011	1
0:01:59	5.0007.610.011	2
0:02:00	5.0007.610.011	3
0:02:01	5.0007.610.011	5
0:02:01	5.0007.610.011	2
0:02:01	5.0007.510.011	3
0:02:01	5.0007.610.011	-2
0:02:02	5.0007.510.011	5
0:02:02	5.0007.510.011	1
0:02:02	5.0007.610.011	3
0:02:02	5.0007.510.011	2
0:02:02	5.0007.510.011	3
0:02:03	5.0007.510.011	1
0:02:03	5.0007.610.011	1
0:02:04	5.0007.510.011	1
0:02:04	5.0007.510.011	3
0:02:04	5.0007.510.011	3
0:02:04	5.0007.510.011	5
0:02:04	5.0007.610.011	-1
0:02:05	5.0007.610.011	2
0:02:05	5.0007.610.011	1
0:02:06	5.0007.610.011	2
0:02:06	5.0007.610.011	2
0:02:06	5.0007.510.011	2
0:02:06	5.0007.610.011	-2
0:02:07	5.0007.610.011	1
0:02:07	5.0007.610.011	2
0:02:07	5.0007.610.011	-2
0:02:08	5.0007.510.011	1
0:02:08	5.0007.610.011	1
0:02:08	5.0007.510.011	1
0:02:08	5.0007.610.011	3
0:02:08	5.0007.610.011	3
0:02:08	5.0007.610.011	-2
0:02:09	5.0007.610.011	1
0:02:10	5.0007.610.011	5
0:02:11	5.0007.510.011	3
0:02:11	5.0007.610.011	-2
0:02:12	5.0007.610.011	5
0:02:12	5.0007.610.011	1
0:02:12	5.0007.510.011	1
0:02:12	5.0007.610.011	2
0:02:12	5.0007.510.011	1
0:02:12	5.0007.610.011	-2
0:02:13	5.0007.610.011	2
0:02:13	5.0007.610.011	-1
0:02:14	5.0007.610.011	2
0:02:14	5.0007.610.011	1
0:02:14	5.0007.610.011	1
0:02:14	5.0007.510.011	1
0:02:14	5.0007.610.011	5
0:02:14	5.0007.610.011	2
0:02:14	5.0007.510.011	1
0:02:14	5.0007.610.011	2
0:02:14	5.0007.610.011	-1
0:02:15	5.0007.610.011	2
0:02:15	5.0007.510.011	1
0:02:15	5.0007.610.011	3
0:02:15	5.0007.610.011	1
0:02:15	5.0007.610.011	-2
0:02:16	5.0007.510.011	4
0:02:16	5.0007.610.011	1
0:02:16	5.0007.510.011	1
0:02:16	5.0007.510.011	2
0:02:16	5.0007.510.011	1
0:02:16	5.0007.610.011	-3
0:02:17	5.0007.610.011	1
0:02:17	5.0007.610.011	1
0:02:17	5.0007.510.011	3
0:02:17	5.0007.610.011	8
0:02:17	5.0007.510.011	1
0:02:18	5.0007.610.011	1
0:02:18	5.0007.610.011	-2
0:02:18	5.0007.610.011	-1
0:02:18	5.0007.610.011	-2
0:02:19	5.0007.510.011	2
0:02:19	5.0007.610.011	5
0:02:19	5.0007.510.011	2
0:02:19	5.0007.510.011	3
0:02:20	5.0007.610.011	1
0:02:20	5.0007.610.011	4
0:02:20	5.0007.610.011	1
0:02:20	5.0007.610.011	1
0:02:20	5.0007.610.011	1
0:02:20	5.0007.610.011	-2
0:02:21	5.0007.510.011	1
0:02:21	5.0007.610.011	1
0:02:22	5.0007.510.011	1
0:02:22	5.0007.610.011	1
0:02:23	5.0007.510.011	2
0:02:23	5.0007.610.011	6
0:02:23	5.0007.610.011	1
0:02:23	5.0007.510.011	1
0:02:23	5.0007.610.011	2
0:02:24	5.0007.510.011	1
0:02:24	5.0007.610.011	2
0:02:24	5.0007.510.011	1
0:02:24	5.0007.610.011	1
0:02:25	5.0007.510.011	1
0:02:26	5.0007.510.011	3
0:02:26	5.0007.610.011	1
0:02:27	5.0007.610.011	1
0:02:27	5.0007.510.011	4
0:02:27	5.0007.510.011	1
0:02:27	5.0007.610.011	-1
0:02:27	5.0007.610.011	-2
0:02:28	5.0007.510.011	1
0:02:28	5.0007.510.011	1
0:02:28	5.0007.510.011	1
0:02:28	5.0007.610.011	-3
0:02:28	5.0007.610.011	-2
0:02:29	5.0007.510.011	1
0:02:29	5.0007.610.011	3
0:02:29	5.0007.510.011	1
0:02:29	5.0007.510.011	1
0:02:29	5.0007.510.011	2
0:02:30	5.0007.610.011	5
0:02:31	5.0007.610.011	1
0:02:31	5.0007.510.011	2
0:02:31	5.0007.610.011	5
0:02:31	5.0007.610.011	-2
0:02:32	5.0007.510.011	3
0:02:32	5.0007.610.011	4
0:02:32	5.0007.610.011	2
0:02:32	5.0007.510.011	1
0:02:32	5.0007.610.011	3
0:02:32	5.0007.610.011	-2
0:02:33	5.0007.610.011	1
0:02:33	5.0007.610.011	3
0:02:33	5.0007.510.011	3
0:02:33	5.0007.510.011	2
0:02:33	5.0007.610.011	1
0:02:34	5.0007.510.011	1
0:02:34	5.0007.610.011	2
0:02:34	5.0007.510.011	4
0:02:34	5.0007.610.011	-1
0:02:35	5.0007.610.011	1
0:02:35	5.0007.510.011	1
0:02:35	5.0007.510.011	2
0:02:35	5.0007.610.011	1
0:02:35	5.0007.610.011	-3
0:02:36	5.0007.610.011	2
0:02:36	5.0007.610.011	2
0:02:37	5.0007.610.011	2
0:02:38	5.0007.510.011	3
0:02:38	5.0007.510.011	1
0:02:38	5.0007.510.011	4
0:02:38	5.0007.610.011	1
0:02:38	5.0007.610.011	-2
0:02:39	5.0007.610.011	2
0:02:40	5.0007.610.011	2
0:02:40	5.0007.510.011	2
0:02:40	5.0007.610.011	5
0:02:40	5.0007.610.011	2
0:02:40	5.0007.610.011	3
0:02:41	5.0007.510.011	1
0:02:41	5.0007.610.011	1
0:02:41	5.0007.610.011	1
0:02:41	5.0007.610.011	1
0:02:41	5.0007.610.011	1
0:02:42	5.0007.510.011	2
0:02:43	5.0007.510.011	3
0:02:43	5.0007.610.011	-3
0:02:44	5.0007.610.011	1
0:02:44	5.0007.610.011	4
0:02:44	5.0007.610.011	-3
0:02:45	5.0007.610.011	1
0:02:45	5.0007.610.011	1
0:02:45	5.0007.510.011	4
0:02:45	5.0007.610.011	2
0:02:45	5.0007.510.011	1
0:02:45	5.0007.610.011	1
0:02:46	5.0007.510.011	2
0:02:46	5.0007.510.011	1
0:02:46	5.0007.610.011	4
0:02:46	5.0007.510.011	2
0:02:46	5.0007.610.011	2
0:02:47	5.0007.510.011	2
0:02:47	5.0007.510.011	4
0:02:47	5.0007.610.011	2
0:02:47	5.0007.510.011	1
0:02:47	5.0007.610.011	-3
0:02:48	5.0007.610.011	1
0:02:48	5.0007.510.011	3
0:02:49	5.0007.610.011	4
0:02:49	5.0007.610.011	2
0:02:49	5.0007.510.011	1
0:02:49	5.0007.610.011	2
0:02:50	5.0007.510.011	3
0:02:50	5.0007.610.011	-2
0:02:51	5.0007.510.011	1
0:02:51	5.0007.610.011	1
0:02:51	5.0007.510.011	2
0:02:51	5.0007.610.011	-2
0:02:52	5.0007.610.011	1
0:02:52	5.0007.610.011	-2
0:02:52	5.0007.610.011	-2
0:02:53	5.0007.610.011	1
0:02:53	5.0007.510.011	1
0:02:53	5.0007.510.011	1
0:02:53	5.0007.610.011	1
0:02:53	5.0007.610.011	-3
0:02:54	5.0007.610.011	1
0:02:54	5.0007.610.011	3
0:02:54	5.0007.610.011	1
0:02:54	5.0007.610.011	1
0:02:54	5.0007.610.011	1
0:02:55	5.0007.510.011	3
0:02:55	5.0007.610.011	5
0:02:55	5.0007.510.011	1
0:02:55	5.0007.510.011	1
0:02:56	5.0007.610.011	1
0:02:56	5.0007.610.011	-1
0:02:57	5.0007.510.011	1
0:02:57	5.0007.610.011	4
0:02:57	5.0007.610.011	1
0:02:57	5.0007.610.011	-2
0:02:58	5.0007.610.011	1
0:02:58	5.0007.610.011	4
0:02:59	5.0007.510.011	1
0:02:59	5.0007.610.011	1
0:02:59	5.0007.610.011	3
0:03:00	5.0007.510.011	3
0:03:00	5.0007.610.011	1
0:03:00	5.0007.610.011	1
0:03:00	5.0007.610.011	2
0:03:00	5.0007.610.011	-2
0:03:01	5.0007.610.011	4
0:03:01	5.0007.610.011	1
0:03:02	5.0007.510.011	2
0:03:02	5.0007.610.011	2
0:03:02	5.0007.610.011	3
0:03:03	5.0007.510.011	2
0:03:03	5.0007.610.011	1
0:03:03	5.0007.510.011	1
0:03:03	5.0007.610.011	3
0:03:04	5.0007.510.011	1
0:03:04	5.0007.610.011	1
0:03:04	5.0007.510.011	3
0:03:05	5.0007.610.011	1
0:03:05	5.0007.510.011	1
0:03:05	5.0007.510.011	2
0:03:05	5.0007.510.011	1
0:03:05	5.0007.610.011	-1
0:03:05	5.0007.610.011	-2
0:03:06	5.0007.610.011	1
0:03:06	5.0007.510.011	4
0:03:06	5.0007.510.011	2
0:03:06	5.0007.510.011	1
0:03:06	5.0007.510.011	1
0:03:06	5.0007.510.011	4
0:03:06	5.0007.610.011	-2
0:03:07	5.0007.510.011	2
0:03:07	5.0007.610.011	1
0:03:07	5.0007.510.011	1
0:03:07	5.0007.610.011	-2
0:03:08	5.0007.610.011	1
0:03:08	5.0007.610.011	-1
0:03:09	5.0007.510.011	2
0:03:09	5.0007.510.011	1
0:03:09	5.0007.510.011	4
0:03:09	5.0007.610.011	2
0:03:10	5.0007.610.011	1
0:03:10	5.0007.510.011	1
0:03:10	5.0007.510.011	3
0:03:11	5.0007.610.011	2
0:03:11	5.0007.610.011	-2
0:03:12	5.0007.510.011	1
0:03:12	5.0007.510.011	2
0:03:12	5.0007.510.011	3
0:03:12	5.0007.610.011	2
0:03:12	5.0007.510.011	2
0:03:13	5.0007.610.011	1
0:03:13	5.0007.610.011	-2
0:03:14	5.0007.510.011	1
0:03:14	5.0007.610.011	2
0:03:14	5.0007.510.011	1
0:03:14	5.0007.610.011	4
0:03:14	5.0007.610.011	2
0:03:14	5.0007.610.011	1
0:03:14	5.0007.510.011	1
0:03:15	5.0007.510.011	1
0:03:15	5.0007.610.011	1
0:03:15	5.0007.510.011	1
0:03:15	5.0007.510.011	2
0:03:15	5.0007.610.011	-2
0:03:16	5.0007.510.011	1
0:03:16	5.0007.610.011	1
0:03:16	5.0007.610.011	-2
0:03:17	5.0007.510.011	1
0:03:17	5.0007.510.011	2
0:03:17	5.0007.510.011	1
0:03:17	5.0007.510.011	7
0:03:17	5.0007.510.011	3
0:03:17	5.0007.610.011	-3
0:03:18	5.0007.610.011	1
0:03:18	5.0007.610.011	3
0:03:18	5.0007.610.011	-2
0:03:19	5.0007.610.011	3
0:03:19	5.0007.510.011	5
0:03:19	5.0007.610.011	-3
0:03:20	5.0007.510.011	1
0:03:20	5.0007.610.011	1
0:03:20	5.0007.610.011	1
0:03:20	5.0007.610.011	4
0:03:20	5.0007.610.011	1
0:03:22	5.0007.510.011	1
0:03:22	5.0007.510.011	1
0:03:22	5.0007.610.011	4
0:03:22	5.0007.510.011	1
0:03:23	5.0007.510.011	4
0:03:23	5.0007.610.011	1
0:03:23	5.0007.510.011	1
0:03:23	5.0007.610.011	2
0:03:23	5.0007.510.011	1
0:03:23	5.0007.510.011	1
0:03:23	5.0007.610.011	-3
0:03:23	5.0007.610.011	-2
0:03:24	5.0007.510.011	1
0:03:24	5.0007.510.011	1
0:03:24	5.0007.510.011	1
0:03:24	5.0007.510.011	5
0:03:24	5.0007.510.011	3
0:03:24	5.0007.610.011	-2
0:03:25	5.0007.510.011	1
0:03:25	5.0007.610.011	2
0:03:25	5.0007.610.011	3
0:03:25	5.0007.610.011	2
0:03:25	5.0007.610.011	-2
0:03:25	5.0007.610.011	-2
0:03:26	5.0007.510.011	3
0:03:26	5.0007.610.011	1
0:03:26	5.0007.610.011	8
0:03:26	5.0007.610.011	-3
0:03:26	5.0007.610.011	-2
0:03:27	5.0007.510.011	1
0:03:27	5.0007.510.011	10
0:03:27	5.0007.610.011	2
0:03:27	5.0007.510.011	1
0:03:28	5.0007.610.011	1
0:03:28	5.0007.510.011	6
0:03:28	5.0007.510.011	4
0:03:29	5.0007.610.011	1
0:03:29	5.0007.610.011	3
0:03:29	5.0007.610.011	1
0:03:29	5.0007.510.011	1
0:03:29	5.0007.510.011	3
0:03:29	5.0007.610.011	4
0:03:30	5.0007.610.011	1
0:03:30	5.0007.510.011	1
0:03:30	5.0007.510.011	1
0:03:31	5.0007.610.011	1
0:03:31	5.0007.510.011	2
0:03:31	5.0007.610.011	1
0:03:31	5.0007.610.011	1
0:03:31	5.0007.510.011	1
0:03:31	5.0007.510.011	2
0:03:31	5.0007.510.011	1
0:03:31	5.0007.610.011	3
0:03:31	5.0007.610.011	-1
0:03:31	5.0007.610.011	-2
0:03:32	5.0007.510.011	2
0:03:32	5.0007.610.011	1
0:03:33	5.0007.510.011	1
0:03:33	5.0007.610.011	1
0:03:34	5.0007.510.011	1
0:03:34	5.0007.610.011	-3
0:03:35	5.0007.510.011	1
0:03:35	5.0007.610.011	2
0:03:35	5.0007.610.011	-1
0:03:36	5.0007.610.011	2
0:03:36	5.0007.610.011	4
0:03:36	5.0007.610.011	1
0:03:36	5.0007.510.011	1
0:03:36	5.0007.510.011	1
0:03:36	5.0007.610.011	1
0:03:36	5.0007.610.011	6
0:03:37	5.0007.510.011	1
0:03:37	5.0007.610.011	1
0:03:37	5.0007.610.011	3
0:03:37	5.0007.610.011	1
